# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
Z|ASSOLIM|CROQUETA CARN D´OLLA 8*500gr|UNIDAD 500gr|3.53
Z|ASSOLIM|HELADO BOMBON BLANC 20*90ML|CAJA 20ud|35.05
Z|ASSOLIM|HELADO BOMBON AMETLLAT 20*90ML|CAJA 20ud|35.05
Z|ASSOLIM|HELADO MINIS C/10Ud|CAJA 10Ud|12.21
Z|ASSOLIM|HELADO PIRULO LIMÓN - FRESA C/24|CAJA 24Ud|25.53
Z|ASSOLIM|HELADO MAXIBON C/20|CAJA 20Ud|29.16
Z|ASSOLIM|FUSILI TRICOLOR 4*2 TUTTI|UNIDAD 2kg|10.68
Z|ASSOLIM|CEBA FREGIDA 5KG C.NAVARRA (3,23€/KG)|CAJA|16.15
Z|ASSOLIM|MADUIXES SENCRERES 2,5KG|UNIDAD 2,5kg|17.57
Z|ASSOLIM|CRUJIBURGER DE PASTANAGA 100GR 3*1KG (PRUEBA)|UNIDAD 1kg|7.46
Z|POLE SUD|CRUMBLE DE ALMENDRA 1KG|UNIDAD|21.46
Z|POLE SUD|COULANT SIN GLUTEN C/32|CAJA|48.58
Z|POLE SUD|HELADO VAINILLA 5L.|UNIDAD|24.76
Z|TB NUTRITION S.L.|TEKE ECONÓMICO C/120|CAJA|43.20
Z|TB NUTRITION S.L.|TEQUEÑO NUTELLA C/120|CAJA|59.52
Z|ASSOLIM|TRUITA DE PATATES AMB CEBA 10*80gr UPRENA|CAJA 10ud|25.56
FV|SERHS FRUITS|TOMATE VERDE AMANIR|KG|1.65
FV|SERHS FRUITS|TOMATE MADURO|KG|1.45
FV|SERHS FRUITS|LECHUGA MIXTA (CAJA 8ud)|CAJA 8ud|8.80
FV|SERHS FRUITS|CEBOLLA MORADA|KG|1.45
FV|SERHS FRUITS|LIMONES|KG|1.95
FV|SERHS FRUITS|NARANJAS|KG|1.55
FV|SERHS FRUITS|CILANTRO (CORIANDRE)|UNID|0.95
FV|SERHS FRUITS|TOMATE CHERRY GRANEL|KG|2.95
FV|SERHS FRUITS|RÚCULA GRANEL|KG|10.50
FV|SERHS FRUITS|CANONIGOS GRANEL|KG|10.50
FV|SERHS FRUITS|HUEVOS (M) (CAJA 6 CARTONES 30ud)|CARTÓN 2,5 (docena)|6.13
FV|SERHS FRUITS|FRUTOS SECOS|KG|7.80
FV|ASSOLIM|HUEVOS COCIDOS ASSOLIM|CUBO 70 UNID|24.03
FV|ASSOLIM|CEBA FREGIDA CRUIXENT 10*500gr|CAJA|31.96
FV|ANMA|COCTEL DE FRUTAS 3Kg C/6|UNIDAD|5.71
FV|ANMA|OLIVAS RELLENAS LA SOTA 2Kg|UNIDAD|5.15
FV|JOSEP XARGATÓ, S.A.|OLIVAS MOJO PICON 2.6Kg|UNIDAD|10.85
FV|ANMA|PEPINILLOS 60/80 LA HUERTA 30GR|UNIDAD|4.75
BA|SERHS, S.L.|ANÍS DEL MONO DOLÇ 70cl C/6|UNIDAD|6.64
BA|SERHS, S.L.|WHISKY J&B 70cl C/12|UNIDAD|9.56
BA|SERHS, S.L.|RATAFIA RUSSET 70cl|UNIDAD|9.66
BA|SERHS, S.L.|RON PUJOL DAURAT 1L. C/6|UNIDAD|12.48
BA|SERHS, S.L.|BAILEYS 70cl C/6|UNIDAD|9.69
BA|DDI PROVEA S.L.|DAMM LEMON BARRIL 30|BARRIL|63.09
BA|DDI PROVEA S.L.|TURIA BARRIL 30L.|BARRIL|62.20
BA|DDI PROVEA S.L.|VOLL DAMM 1/3 LATA|CAJA|17.36
BA|DDI PROVEA S.L.|ESTRELLA DAMM 1/3 LATA|CAJA|14.65
